All Orders

Order ID: 100 | PC ID: 8 | Qty: 23 | Profit Rate: 66%  | PCCost: $2050.00 | Total Profit: $31119.00
Order ID: 101 | PC ID: 8 | Qty: 20 | Profit Rate: 73%  | PCCost: $2050.00 | Total Profit: $29930.00
Order ID: 102 | PC ID: 3 | Qty: 24 | Profit Rate: 70%  | PCCost: $2450.00 | Total Profit: $41160.00
Order ID: 103 | PC ID: 2 | Qty: 22 | Profit Rate: 55%  | PCCost: $2250.00 | Total Profit: $27225.00
Order ID: 104 | PC ID: 2 | Qty: 30 | Profit Rate: 61%  | PCCost: $2250.00 | Total Profit: $41175.00
Order ID: 105 | PC ID: 10 | Qty: 23 | Profit Rate: 75%  | PCCost: $2250.00 | Total Profit: $38812.50
Order ID: 106 | PC ID: 8 | Qty: 17 | Profit Rate: 56%  | PCCost: $2050.00 | Total Profit: $19516.00
Order ID: 107 | PC ID: 4 | Qty: 9 | Profit Rate: 49%  | PCCost: $2650.00 | Total Profit: $11686.50
Order ID: 108 | PC ID: 9 | Qty: 10 | Profit Rate: 49%  | PCCost: $2250.00 | Total Profit: $11025.00
Order ID: 109 | PC ID: 14 | Qty: 30 | Profit Rate: 55%  | PCCost: $2850.00 | Total Profit: $47025.00
Order ID: 110 | PC ID: 10 | Qty: 20 | Profit Rate: 65%  | PCCost: $2250.00 | Total Profit: $29250.00
Order ID: 111 | PC ID: 0 | Qty: 12 | Profit Rate: 69%  | PCCost: $2050.00 | Total Profit: $16974.00
Order ID: 112 | PC ID: 4 | Qty: 9 | Profit Rate: 65%  | PCCost: $2650.00 | Total Profit: $15502.50
Order ID: 113 | PC ID: 10 | Qty: 2 | Profit Rate: 62%  | PCCost: $2250.00 | Total Profit: $2790.00
Order ID: 114 | PC ID: 14 | Qty: 2 | Profit Rate: 52%  | PCCost: $2850.00 | Total Profit: $2964.00
Order ID: 115 | PC ID: 15 | Qty: 3 | Profit Rate: 47%  | PCCost: $3050.00 | Total Profit: $4300.50
Order ID: 116 | PC ID: 1 | Qty: 18 | Profit Rate: 52%  | PCCost: $2250.00 | Total Profit: $21060.00
Order ID: 117 | PC ID: 15 | Qty: 5 | Profit Rate: 65%  | PCCost: $3050.00 | Total Profit: $9912.50
Order ID: 118 | PC ID: 4 | Qty: 10 | Profit Rate: 70%  | PCCost: $2650.00 | Total Profit: $18550.00
Order ID: 119 | PC ID: 4 | Qty: 4 | Profit Rate: 45%  | PCCost: $2650.00 | Total Profit: $4770.00
Order ID: 120 | PC ID: 4 | Qty: 11 | Profit Rate: 68%  | PCCost: $2650.00 | Total Profit: $19822.00
Order ID: 121 | PC ID: 6 | Qty: 30 | Profit Rate: 64%  | PCCost: $2850.00 | Total Profit: $54720.00
Order ID: 122 | PC ID: 8 | Qty: 21 | Profit Rate: 74%  | PCCost: $2050.00 | Total Profit: $31857.00
Order ID: 123 | PC ID: 12 | Qty: 15 | Profit Rate: 55%  | PCCost: $2650.00 | Total Profit: $21862.50
