Cancelled Orders

Order ID: 213 | PC ID: 14 | Qty: 18 | Profit Rate: 46%  | PCCost: $2850.00 | Total Profit: $23598.00
Order ID: 214 | PC ID: 3 | Qty: 19 | Profit Rate: 62%  | PCCost: $2450.00 | Total Profit: $28861.00
Order ID: 215 | PC ID: 9 | Qty: 17 | Profit Rate: 46%  | PCCost: $2250.00 | Total Profit: $17595.00
Order ID: 217 | PC ID: 3 | Qty: 17 | Profit Rate: 67%  | PCCost: $2450.00 | Total Profit: $27905.50
Order ID: 218 | PC ID: 6 | Qty: 28 | Profit Rate: 50%  | PCCost: $2850.00 | Total Profit: $39900.00
Order ID: 219 | PC ID: 7 | Qty: 20 | Profit Rate: 59%  | PCCost: $3050.00 | Total Profit: $35990.00
Order ID: 220 | PC ID: 6 | Qty: 9 | Profit Rate: 68%  | PCCost: $2850.00 | Total Profit: $17442.00
Order ID: 222 | PC ID: 10 | Qty: 12 | Profit Rate: 70%  | PCCost: $2250.00 | Total Profit: $18900.00
Order ID: 223 | PC ID: 14 | Qty: 3 | Profit Rate: 70%  | PCCost: $2850.00 | Total Profit: $5985.00
Order ID: 224 | PC ID: 14 | Qty: 21 | Profit Rate: 48%  | PCCost: $2850.00 | Total Profit: $28728.00
Order ID: 225 | PC ID: 2 | Qty: 17 | Profit Rate: 62%  | PCCost: $2250.00 | Total Profit: $23715.00
Order ID: 226 | PC ID: 7 | Qty: 24 | Profit Rate: 68%  | PCCost: $3050.00 | Total Profit: $49776.00
Order ID: 227 | PC ID: 0 | Qty: 17 | Profit Rate: 56%  | PCCost: $2050.00 | Total Profit: $19516.00
Order ID: 228 | PC ID: 9 | Qty: 2 | Profit Rate: 64%  | PCCost: $2250.00 | Total Profit: $2880.00
Order ID: 229 | PC ID: 11 | Qty: 16 | Profit Rate: 67%  | PCCost: $2450.00 | Total Profit: $26264.00
Order ID: 230 | PC ID: 7 | Qty: 2 | Profit Rate: 62%  | PCCost: $3050.00 | Total Profit: $3782.00
Order ID: 231 | PC ID: 10 | Qty: 19 | Profit Rate: 65%  | PCCost: $2250.00 | Total Profit: $27787.50
Order ID: 232 | PC ID: 10 | Qty: 18 | Profit Rate: 46%  | PCCost: $2250.00 | Total Profit: $18630.00
Order ID: 233 | PC ID: 3 | Qty: 18 | Profit Rate: 61%  | PCCost: $2450.00 | Total Profit: $26901.00
Order ID: 234 | PC ID: 11 | Qty: 8 | Profit Rate: 52%  | PCCost: $2450.00 | Total Profit: $10192.00
Order ID: 235 | PC ID: 5 | Qty: 25 | Profit Rate: 59%  | PCCost: $2850.00 | Total Profit: $42037.50
Order ID: 236 | PC ID: 11 | Qty: 1 | Profit Rate: 62%  | PCCost: $2450.00 | Total Profit: $1519.00
Order ID: 237 | PC ID: 11 | Qty: 29 | Profit Rate: 50%  | PCCost: $2450.00 | Total Profit: $35525.00
Order ID: 238 | PC ID: 9 | Qty: 26 | Profit Rate: 56%  | PCCost: $2250.00 | Total Profit: $32760.00
Order ID: 239 | PC ID: 3 | Qty: 9 | Profit Rate: 54%  | PCCost: $2450.00 | Total Profit: $11907.00
Order ID: 240 | PC ID: 5 | Qty: 13 | Profit Rate: 45%  | PCCost: $2850.00 | Total Profit: $16672.50
Order ID: 241 | PC ID: 7 | Qty: 3 | Profit Rate: 75%  | PCCost: $3050.00 | Total Profit: $6862.50
Order ID: 242 | PC ID: 5 | Qty: 19 | Profit Rate: 47%  | PCCost: $2850.00 | Total Profit: $25450.50
Order ID: 243 | PC ID: 12 | Qty: 27 | Profit Rate: 74%  | PCCost: $2650.00 | Total Profit: $52947.00
Order ID: 244 | PC ID: 8 | Qty: 28 | Profit Rate: 50%  | PCCost: $2050.00 | Total Profit: $28700.00
Order ID: 245 | PC ID: 15 | Qty: 9 | Profit Rate: 66%  | PCCost: $3050.00 | Total Profit: $18117.00
Order ID: 246 | PC ID: 7 | Qty: 24 | Profit Rate: 69%  | PCCost: $3050.00 | Total Profit: $50508.00
Order ID: 247 | PC ID: 0 | Qty: 27 | Profit Rate: 68%  | PCCost: $2050.00 | Total Profit: $37638.00
Order ID: 248 | PC ID: 13 | Qty: 28 | Profit Rate: 46%  | PCCost: $2850.00 | Total Profit: $36708.00
Order ID: 249 | PC ID: 10 | Qty: 30 | Profit Rate: 72%  | PCCost: $2250.00 | Total Profit: $48600.00
Order ID: 250 | PC ID: 10 | Qty: 24 | Profit Rate: 49%  | PCCost: $2250.00 | Total Profit: $26460.00
Order ID: 251 | PC ID: 13 | Qty: 1 | Profit Rate: 69%  | PCCost: $2850.00 | Total Profit: $1966.50
